DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level
DDInter15,Acetazolamide,DDInter776,Formoterol,Moderate
DDInter885,Hydrocortisone,DDInter15,Acetazolamide,Moderate
DDInter15,Acetazolamide,DDInter1513,Prednisolone,Moderate
DDInter15,Acetazolamide,DDInter1635,Salmeterol,Moderate
DDInter15,Acetazolamide,DDInter1769,Terbutaline,Moderate
DDInter712,Famotidine,DDInter1632,Salbutamol,Moderate
DDInter712,Famotidine,DDInter776,Formoterol,Moderate
DDInter712,Famotidine,DDInter1533,Promethazine,Moderate
DDInter712,Famotidine,DDInter1635,Salmeterol,Moderate
DDInter1769,Terbutaline,DDInter712,Famotidine,Moderate
DDInter712,Famotidine,DDInter45,Alimemazine,Moderate
DDInter1277,Neomycin,DDInter1559,Rabeprazole,Moderate
DDInter776,Formoterol,DDInter1632,Salbutamol,Moderate
DDInter44,Alfuzosin,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter76,Amiodarone,Moderate
DDInter776,Formoterol,DDInter77,Amisulpride,Moderate
DDInter78,Amitriptyline,DDInter776,Formoterol,Moderate
DDInter130,Atenolol,DDInter776,Formoterol,Moderate
DDInter157,Azithromycin,DDInter776,Formoterol,Moderate
DDInter216,Bisoprolol,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter305,Carvedilol,Major
DDInter363,Chlorpromazine,DDInter776,Formoterol,Moderate
DDInter384,Ciprofloxacin,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter393,Clarithromycin,Moderate
DDInter776,Formoterol,DDInter474,Dapagliflozin,Moderate
DDInter577,Dobutamine,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter584,Dopamine,Moderate
DDInter624,Efavirenz,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter650,Ephedrine,Moderate
DDInter652,Epinephrine,DDInter776,Formoterol,Moderate
DDInter670,Erythromycin,DDInter776,Formoterol,Moderate
DDInter758,Fluoxetine,DDInter776,Formoterol,Moderate
DDInter790,Furosemide,DDInter776,Formoterol,Moderate
DDInter825,Glimepiride,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter826,Glipizide,Moderate
DDInter853,Haloperidol,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter883,Hydrochlorothiazide,Moderate
DDInter916,Indapamide,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter996,Ivabradine,Moderate
DDInter776,Formoterol,DDInter1008,Ketoconazole,Moderate
DDInter776,Formoterol,DDInter1055,Levofloxacin,Moderate
DDInter776,Formoterol,DDInter1070,Linagliptin,Moderate
DDInter1073,Linezolid,DDInter776,Formoterol,Moderate
DDInter1123,Mannitol,DDInter776,Formoterol,Moderate
DDInter1164,Metformin,DDInter776,Formoterol,Moderate
DDInter1185,Methyldopa,DDInter776,Formoterol,Moderate
DDInter1200,Metoprolol,DDInter776,Formoterol,Moderate
DDInter1247,Moxifloxacin,DDInter776,Formoterol,Moderate
DDInter776,Formoterol,DDInter1271,Nebivolol,Moderate
DDInter776,Formoterol,DDInter1325,Ofloxacin,Moderate
